OrderNumber,CustomerID,Name,Address,City,Country,Continent,PurchaseDate,PaymentMethod,Product,ProductCategory,Quantity,ProductID,ProductPrice,CostPrice,DiscountPercentage,DiscountedPrice,FinalPrice,Profit,WarrantyPeriod
ORD0643484,CUST000004,Ryan Howard,"444 Simmons Stream Apt. 235, Munich, Germany",Munich,Germany,Europe,3/26/2022,Online Wallet,Ashley Furniture Sofa,Furniture,5,FURN100,1562.89,962.55,14.77,1332.05,6660.25,1847.5,33 months
ORD0643485,CUST000004,Ryan Howard,"444 Simmons Stream Apt. 235, Munich, Germany",Munich,Germany,Europe,5/23/2023,Credit Card,Free-Range Eggs,Groceries,2,GROC101,37.55,22.94,14.9,31.96,63.92,18.04,No Warranty
ORD0643484,CUST000004,Ryan Howard,"444 Simmons Stream Apt. 235, Munich, Germany",Munich,Germany,Europe,1/22/2023,Online Wallet,Organic Almond Milk,Groceries,5,GROC103,28.21,19.52,27,20.59,102.95,5.35,No Warranty
ORD0643486,CUST000005,William Friedman,"3744 Danielle Harbor Suite 108, Abuja, Nigeria",Abuja,Nigeria,Africa,1/23/2020,Debit Card,The Great Gatsby,Books,5,BOOK112,77.7,57.13,11.21,68.99,344.95,59.3,No Warranty
ORD0643486,CUST000005,William Friedman,"3744 Danielle Harbor Suite 108, Abuja, Nigeria",Abuja,Nigeria,Africa,5/18/2021,Debit Card,Sony WH-1000XM5 Headphones,Electronics,4,ELEC112,537.48,335.3,0,537.48,2149.92,808.72,6 months
ORD0643486,CUST000005,William Friedman,"3744 Danielle Harbor Suite 108, Abuja, Nigeria",Abuja,Nigeria,Africa,3/22/2020,Debit Card,IKEA Billy Bookcase,Furniture,4,FURN100,2182.36,1726.29,15.12,1852.39,7409.56,504.4,26 months
ORD0643487,CUST000005,William Friedman,"3744 Danielle Harbor Suite 108, Abuja, Nigeria",Abuja,Nigeria,Africa,5/21/2021,Online Wallet,Organic Almond Milk,Groceries,3,GROC103,16.28,10.2,27.94,11.73,35.19,4.59,No Warranty
ORD0643488,CUST000006,Samuel Chung,"27301 Lisa Trail Suite 216, Port Harcourt, Nigeria",Port Harcourt,Nigeria,Africa,6/4/2020,Credit Card,Atomic Habits,Books,2,BOOK100,80.21,60.8,0,80.21,160.42,38.82,No Warranty
ORD0643492,CUST000006,Samuel Chung,"27301 Lisa Trail Suite 216, Port Harcourt, Nigeria",Port Harcourt,Nigeria,Africa,7/20/2024,PayPal,Manga: Attack on Titan Vol. 1,Books,3,BOOK103,41.97,27.7,22.68,32.45,97.35,14.25,No Warranty
ORD0643490,CUST000006,Samuel Chung,"27301 Lisa Trail Suite 216, Port Harcourt, Nigeria",Port Harcourt,Nigeria,Africa,10/27/2023,Online Wallet,Manga: Attack on Titan Vol. 1,Books,3,BOOK103,84.69,54.82,20.39,67.42,202.26,37.8,No Warranty
ORD0643492,CUST000006,Samuel Chung,"27301 Lisa Trail Suite 216, Port Harcourt, Nigeria",Port Harcourt,Nigeria,Africa,9/29/2024,PayPal,The Great Gatsby,Books,2,BOOK112,30.17,22.41,7.27,27.98,55.96,11.14,No Warranty
ORD0643489,CUST000006,Samuel Chung,"27301 Lisa Trail Suite 216, Port Harcourt, Nigeria",Port Harcourt,Nigeria,Africa,12/20/2021,Credit Card,Adidas Ultraboost,Clothing,1,CLOT100,315.59,217.8,6.84,294,294,76.2,No Warranty
ORD0643490,CUST000006,Samuel Chung,"27301 Lisa Trail Suite 216, Port Harcourt, Nigeria",Port Harcourt,Nigeria,Africa,8/22/2021,Online Wallet,Nike Air Max Shoes,Clothing,4,CLOT103,338.05,260.92,13.03,294,1176,132.32,No Warranty
ORD0643491,CUST000006,Samuel Chung,"27301 Lisa Trail Suite 216, Port Harcourt, Nigeria",Port Harcourt,Nigeria,Africa,3/30/2020,Credit Card,North Face Jacket,Clothing,2,CLOT104,465.1,339.15,17.91,381.8,763.6,85.3,No Warranty
ORD0643488,CUST000006,Samuel Chung,"27301 Lisa Trail Suite 216, Port Harcourt, Nigeria",Port Harcourt,Nigeria,Africa,2/27/2023,Credit Card,Samsung Galaxy S23,Electronics,2,ELEC104,913.89,673.69,29.42,645.02,1290.04,-57.34,20 months
ORD0643488,CUST000006,Samuel Chung,"27301 Lisa Trail Suite 216, Port Harcourt, Nigeria",Port Harcourt,Nigeria,Africa,4/5/2021,Credit Card,iPhone 14 Pro,Electronics,2,ELEC112,1500.44,1183.6,19.76,1203.95,2407.9,40.7,20 months
ORD0643492,CUST000006,Samuel Chung,"27301 Lisa Trail Suite 216, Port Harcourt, Nigeria",Port Harcourt,Nigeria,Africa,2/16/2022,PayPal,Ashley Furniture Sofa,Furniture,2,FURN100,103.05,78.99,20.19,82.24,164.48,6.5,20 months
ORD0643491,CUST000006,Samuel Chung,"27301 Lisa Trail Suite 216, Port Harcourt, Nigeria",Port Harcourt,Nigeria,Africa,6/23/2022,Credit Card,IKEA Billy Bookcase,Furniture,1,FURN100,1582.45,1261.03,15.8,1332.42,1332.42,71.39,9 months
ORD0643491,CUST000006,Samuel Chung,"27301 Lisa Trail Suite 216, Port Harcourt, Nigeria",Port Harcourt,Nigeria,Africa,5/16/2024,Credit Card,Whole Wheat Bread,Groceries,4,GROC113,28.45,21.54,0,28.45,113.8,27.64,No Warranty
ORD0643494,CUST000007,Ryan Hamilton,"3255 Shaw Light Apt. 399, Munich, Germany",Munich,Germany,Europe,5/26/2021,Credit Card,Atomic Habits,Books,2,BOOK100,26.15,18.15,27,19.09,38.18,1.88,No Warranty
ORD0643497,CUST000007,Ryan Hamilton,"3255 Shaw Light Apt. 399, Munich, Germany",Munich,Germany,Europe,4/27/2023,Credit Card,Manga: Attack on Titan Vol. 1,Books,2,BOOK103,52.46,39.26,20.75,41.57,83.14,4.62,No Warranty
ORD0643495,CUST000007,Ryan Hamilton,"3255 Shaw Light Apt. 399, Munich, Germany",Munich,Germany,Europe,1/22/2024,Credit Card,Manga: Attack on Titan Vol. 1,Books,4,BOOK103,28.87,17.77,0,28.87,115.48,44.4,No Warranty
ORD0643493,CUST000007,Ryan Hamilton,"3255 Shaw Light Apt. 399, Munich, Germany",Munich,Germany,Europe,5/26/2020,Credit Card,The Great Gatsby,Books,2,BOOK112,96.18,68.74,0,96.18,192.36,54.88,No Warranty
ORD0643493,CUST000007,Ryan Hamilton,"3255 Shaw Light Apt. 399, Munich, Germany",Munich,Germany,Europe,3/12/2021,Credit Card,Levi's 501 Jeans,Clothing,5,CLOT110,318.99,203.08,0,318.99,1594.95,579.55,No Warranty
ORD0643496,CUST000007,Ryan Hamilton,"3255 Shaw Light Apt. 399, Munich, Germany",Munich,Germany,Europe,11/16/2020,Credit Card,Samsung Galaxy S23,Electronics,1,ELEC104,1384.9,843.39,20.19,1105.29,1105.29,261.9,13 months
ORD0643493,CUST000007,Ryan Hamilton,"3255 Shaw Light Apt. 399, Munich, Germany",Munich,Germany,Europe,1/19/2023,Credit Card,Ashley Furniture Sofa,Furniture,5,FURN100,1743.09,1096.17,9.07,1584.99,7924.95,2444.1,8 months
ORD0643496,CUST000007,Ryan Hamilton,"3255 Shaw Light Apt. 399, Munich, Germany",Munich,Germany,Europe,3/8/2020,Credit Card,Ashley Furniture Sofa,Furniture,1,FURN100,307.66,211.42,24.07,233.61,233.61,22.19,35 months
ORD0643497,CUST000007,Ryan Hamilton,"3255 Shaw Light Apt. 399, Munich, Germany",Munich,Germany,Europe,9/22/2024,Credit Card,IKEA Billy Bookcase,Furniture,1,FURN100,572.19,436.56,27.16,416.78,416.78,-19.78,7 months
ORD0643496,CUST000007,Ryan Hamilton,"3255 Shaw Light Apt. 399, Munich, Germany",Munich,Germany,Europe,4/2/2022,Credit Card,Free-Range Eggs,Groceries,4,GROC101,13.65,8.84,9.06,12.41,49.64,14.28,No Warranty
ORD0643495,CUST000007,Ryan Hamilton,"3255 Shaw Light Apt. 399, Munich, Germany",Munich,Germany,Europe,9/11/2023,Credit Card,Organic Almond Milk,Groceries,2,GROC103,40.61,25.98,0,40.61,81.22,29.26,No Warranty
ORD0643495,CUST000007,Ryan Hamilton,"3255 Shaw Light Apt. 399, Munich, Germany",Munich,Germany,Europe,10/31/2024,Credit Card,Whole Wheat Bread,Groceries,1,GROC113,7.74,5.9,10.21,6.95,6.95,1.05,No Warranty
ORD0643499,CUST000008,Amanda Gill,"424 Bailey Plaza, Shanghai, China",Shanghai,China,Asia,12/30/2024,Debit Card,Atomic Habits,Books,1,BOOK100,36.27,25.9,10.53,32.45,32.45,6.55,No Warranty
ORD0643498,CUST000008,Amanda Gill,"424 Bailey Plaza, Shanghai, China",Shanghai,China,Asia,12/31/2021,Debit Card,The Great Gatsby,Books,5,BOOK112,71.18,51.54,0,71.18,355.9,98.2,No Warranty
ORD0643498,CUST000008,Amanda Gill,"424 Bailey Plaza, Shanghai, China",Shanghai,China,Asia,1/4/2022,Debit Card,Adidas Ultraboost,Clothing,4,CLOT100,57.51,42.91,18.62,46.8,187.2,15.56,No Warranty
ORD0643498,CUST000008,Amanda Gill,"424 Bailey Plaza, Shanghai, China",Shanghai,China,Asia,11/6/2024,Debit Card,Levi's 501 Jeans,Clothing,4,CLOT110,36.08,25.55,22.45,27.98,111.92,9.72,No Warranty
ORD0643502,CUST000008,Amanda Gill,"424 Bailey Plaza, Shanghai, China",Shanghai,China,Asia,12/8/2023,Online Wallet,iPhone 14 Pro,Electronics,5,ELEC112,1187.66,768.21,23.12,913.07,4565.35,724.3,34 months
ORD0643501,CUST000008,Amanda Gill,"424 Bailey Plaza, Shanghai, China",Shanghai,China,Asia,7/6/2020,Credit Card,iPhone 14 Pro,Electronics,4,ELEC112,1433.7,953.89,19.22,1158.14,4632.56,817,10 months
ORD0643501,CUST000008,Amanda Gill,"424 Bailey Plaza, Shanghai, China",Shanghai,China,Asia,6/24/2023,Credit Card,Sony WH-1000XM5 Headphones,Electronics,1,ELEC112,625.78,404.35,11.76,552.19,552.19,147.84,32 months
ORD0643501,CUST000008,Amanda Gill,"424 Bailey Plaza, Shanghai, China",Shanghai,China,Asia,5/14/2023,Credit Card,Sealy Posturepedic Mattress,Furniture,3,FURN112,1957.97,1459.61,0,1957.97,5873.91,1495.08,18 months
ORD0643500,CUST000008,Amanda Gill,"424 Bailey Plaza, Shanghai, China",Shanghai,China,Asia,8/13/2021,PayPal,Fresh Apples,Groceries,1,GROC102,27.03,17.15,28.39,19.36,19.36,2.21,No Warranty
ORD0643501,CUST000008,Amanda Gill,"424 Bailey Plaza, Shanghai, China",Shanghai,China,Asia,9/4/2021,Credit Card,Fresh Apples,Groceries,5,GROC102,36.25,25.02,19.31,29.25,146.25,21.15,No Warranty
ORD0643498,CUST000008,Amanda Gill,"424 Bailey Plaza, Shanghai, China",Shanghai,China,Asia,6/21/2022,Debit Card,Fresh Apples,Groceries,5,GROC102,22.37,14.57,21.31,17.6,88,15.15,No Warranty
ORD0643503,CUST000009,Stacey Phillips,"6270 Beth Views, Paris, France",Paris,France,Europe,8/13/2021,Credit Card,Ashley Furniture Sofa,Furniture,4,FURN100,1736.36,1105.29,0,1736.36,6945.44,2524.28,13 months
ORD0643503,CUST000009,Stacey Phillips,"6270 Beth Views, Paris, France",Paris,France,Europe,12/26/2023,Credit Card,Free-Range Eggs,Groceries,1,GROC101,21.01,16.31,15.07,17.84,17.84,1.53,No Warranty
ORD0643503,CUST000009,Stacey Phillips,"6270 Beth Views, Paris, France",Paris,France,Europe,6/22/2021,Credit Card,Free-Range Eggs,Groceries,1,GROC101,22.85,16.76,15.22,19.37,19.37,2.61,No Warranty
ORD0643503,CUST000009,Stacey Phillips,"6270 Beth Views, Paris, France",Paris,France,Europe,6/2/2021,Credit Card,Fresh Apples,Groceries,1,GROC102,22.45,14.92,11.55,19.86,19.86,4.94,No Warranty
ORD0643506,CUST000010,Leah Davis,"66314 Phillips Shore Suite 069, Nice, France",Nice,France,Europe,7/21/2020,Debit Card,Atomic Habits,Books,4,BOOK100,52.98,41.17,23.14,40.72,162.88,-1.8,No Warranty
ORD0643507,CUST000010,Leah Davis,"66314 Phillips Shore Suite 069, Nice, France",Nice,France,Europe,5/31/2022,Credit Card,Atomic Habits,Books,5,BOOK100,64.59,51.49,0,64.59,322.95,65.5,No Warranty
ORD0643505,CUST000010,Leah Davis,"66314 Phillips Shore Suite 069, Nice, France",Nice,France,Europe,5/12/2021,Credit Card,Manga: Attack on Titan Vol. 1,Books,2,BOOK103,59.8,40.73,10.28,53.65,107.3,25.84,No Warranty
ORD0643504,CUST000010,Leah Davis,"66314 Phillips Shore Suite 069, Nice, France",Nice,France,Europe,8/24/2021,Debit Card,The Great Gatsby,Books,4,BOOK112,56.46,44.59,21.1,44.55,178.2,-0.16,No Warranty
ORD0643504,CUST000010,Leah Davis,"66314 Phillips Shore Suite 069, Nice, France",Nice,France,Europe,6/29/2020,Debit Card,Nike Air Max Shoes,Clothing,4,CLOT103,109.71,66.64,12.4,96.11,384.44,117.88,No Warranty
ORD0643504,CUST000010,Leah Davis,"66314 Phillips Shore Suite 069, Nice, France",Nice,France,Europe,10/30/2022,Debit Card,Levi's 501 Jeans,Clothing,4,CLOT110,408.98,247.53,0,408.98,1635.92,645.8,No Warranty
ORD0643504,CUST000010,Leah Davis,"66314 Phillips Shore Suite 069, Nice, France",Nice,France,Europe,1/5/2024,Debit Card,Samsung Galaxy S23,Electronics,1,ELEC104,1519.18,1198.78,6.56,1419.52,1419.52,220.74,34 months
ORD0643508,CUST000010,Leah Davis,"66314 Phillips Shore Suite 069, Nice, France",Nice,France,Europe,12/17/2023,Debit Card,iPhone 14 Pro,Electronics,1,ELEC112,1891.9,1485.45,10.35,1696.09,1696.09,210.64,33 months
ORD0643504,CUST000010,Leah Davis,"66314 Phillips Shore Suite 069, Nice, France",Nice,France,Europe,2/5/2022,Debit Card,iPhone 14 Pro,Electronics,1,ELEC112,1889.44,1441.86,8.94,1720.52,1720.52,278.66,18 months
ORD0643508,CUST000010,Leah Davis,"66314 Phillips Shore Suite 069, Nice, France",Nice,France,Europe,9/18/2021,Debit Card,Ashley Furniture Sofa,Furniture,5,FURN100,2859.1,1866.54,20.77,2265.26,11326.3,1993.6,15 months
ORD0643507,CUST000010,Leah Davis,"66314 Phillips Shore Suite 069, Nice, France",Nice,France,Europe,9/1/2020,Credit Card,Ashley Furniture Sofa,Furniture,1,FURN100,2394.94,1781.21,0,2394.94,2394.94,613.73,16 months
ORD0643507,CUST000010,Leah Davis,"66314 Phillips Shore Suite 069, Nice, France",Nice,France,Europe,7/22/2020,Credit Card,IKEA Billy Bookcase,Furniture,4,FURN100,2866.12,2189.12,0,2866.12,11464.48,2708,11 months
ORD0643508,CUST000010,Leah Davis,"66314 Phillips Shore Suite 069, Nice, France",Nice,France,Europe,1/23/2024,Debit Card,IKEA Billy Bookcase,Furniture,2,FURN100,1225.94,963.79,10.29,1099.79,2199.58,272,6 months
ORD0643506,CUST000010,Leah Davis,"66314 Phillips Shore Suite 069, Nice, France",Nice,France,Europe,10/18/2021,Debit Card,IKEA Billy Bookcase,Furniture,2,FURN100,1816.11,1121.03,22.25,1412.03,2824.06,582,34 months
ORD0643509,CUST000011,Angelica Gibbs,"63179 Gardner Inlet Suite 084, Lyon, France",Lyon,France,Europe,3/14/2020,Online Wallet,Adidas Ultraboost,Clothing,3,CLOT100,395.79,309.09,0,395.79,1187.37,260.1,No Warranty
ORD0643509,CUST000011,Angelica Gibbs,"63179 Gardner Inlet Suite 084, Lyon, France",Lyon,France,Europe,10/28/2024,Online Wallet,Ashley Furniture Sofa,Furniture,4,FURN100,2660.51,1872.13,25.3,1987.4,7949.6,461.08,12 months
ORD0643509,CUST000011,Angelica Gibbs,"63179 Gardner Inlet Suite 084, Lyon, France",Lyon,France,Europe,4/16/2021,Online Wallet,Ashley Furniture Sofa,Furniture,2,FURN100,1724.76,1130.59,28.04,1241.14,2482.28,221.1,23 months
ORD0643509,CUST000011,Angelica Gibbs,"63179 Gardner Inlet Suite 084, Lyon, France",Lyon,France,Europe,3/4/2022,Online Wallet,Fresh Apples,Groceries,5,GROC102,49.67,38.67,0,49.67,248.35,55,No Warranty
ORD0643511,CUST000012,Curtis Lewis,"240 Edward Forks Apt. 419, Chennai, India",Chennai,India,Asia,1/29/2024,Debit Card,The Great Gatsby,Books,2,BOOK112,48.64,30.81,8.7,44.41,88.82,27.2,No Warranty
ORD0643511,CUST000012,Curtis Lewis,"240 Edward Forks Apt. 419, Chennai, India",Chennai,India,Asia,12/19/2024,Debit Card,North Face Jacket,Clothing,5,CLOT104,396.61,315.05,16.72,330.3,1651.5,76.25,No Warranty
ORD0643511,CUST000012,Curtis Lewis,"240 Edward Forks Apt. 419, Chennai, India",Chennai,India,Asia,7/2/2024,Debit Card,iPhone 14 Pro,Electronics,2,ELEC112,1272,904.87,12.04,1118.85,2237.7,427.96,15 months
ORD0643510,CUST000012,Curtis Lewis,"240 Edward Forks Apt. 419, Chennai, India",Chennai,India,Asia,10/28/2024,Online Wallet,Sony WH-1000XM5 Headphones,Electronics,4,ELEC112,971.79,621.69,12.48,850.51,3402.04,915.28,27 months
ORD0643511,CUST000012,Curtis Lewis,"240 Edward Forks Apt. 419, Chennai, India",Chennai,India,Asia,12/19/2022,Debit Card,Ashley Furniture Sofa,Furniture,3,FURN100,2127,1348.7,0,2127,6381,2334.9,7 months
ORD0643511,CUST000012,Curtis Lewis,"240 Edward Forks Apt. 419, Chennai, India",Chennai,India,Asia,8/7/2024,Debit Card,Organic Almond Milk,Groceries,5,GROC103,31.77,24.51,0,31.77,158.85,36.3,No Warranty
ORD0643514,CUST000013,Victor Howell,"752 Taylor Port Suite 122, New York, United States",New York,United States,North America,10/16/2023,Debit Card,The Great Gatsby,Books,4,BOOK112,61.41,42.21,0,61.41,245.64,76.8,No Warranty
ORD0643512,CUST000013,Victor Howell,"752 Taylor Port Suite 122, New York, United States",New York,United States,North America,11/16/2023,Debit Card,The Great Gatsby,Books,4,BOOK112,19.26,14.06,0,19.26,77.04,20.8,No Warranty
ORD0643514,CUST000013,Victor Howell,"752 Taylor Port Suite 122, New York, United States",New York,United States,North America,3/15/2021,Debit Card,Adidas Ultraboost,Clothing,5,CLOT100,453.22,361.32,26.95,331.08,1655.4,-151.2,No Warranty
ORD0643514,CUST000013,Victor Howell,"752 Taylor Port Suite 122, New York, United States",New York,United States,North America,12/5/2024,Debit Card,Apple Watch Series 8,Electronics,5,ELEC102,1190.43,947.22,9.7,1074.96,5374.8,638.7,16 months
ORD0643514,CUST000013,Victor Howell,"752 Taylor Port Suite 122, New York, United States",New York,United States,North America,10/11/2021,Debit Card,Sony WH-1000XM5 Headphones,Electronics,3,ELEC112,1169.61,702.73,7.08,1086.8,3260.4,1152.21,7 months
